team_id,bookmaker,market,collected_at,decimal_odds,source
ESP,Swisslos,champion,2026-06-11T22:02:28,5.5,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
FRA,Swisslos,champion,2026-06-11T22:02:28,5.5,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
ENG,Swisslos,champion,2026-06-11T22:02:28,7.5,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
POR,Swisslos,champion,2026-06-11T22:02:28,7.5,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
ARG,Swisslos,champion,2026-06-11T22:02:28,9.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
BRA,Swisslos,champion,2026-06-11T22:02:28,9.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
GER,Swisslos,champion,2026-06-11T22:02:28,15.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
NED,Swisslos,champion,2026-06-11T22:02:28,20.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
NOR,Swisslos,champion,2026-06-11T22:02:28,25.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
BEL,Swisslos,champion,2026-06-11T22:02:28,35.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
COL,Swisslos,champion,2026-06-11T22:02:28,41.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
JPN,Swisslos,champion,2026-06-11T22:02:28,50.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
MAR,Swisslos,champion,2026-06-11T22:02:28,50.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
MEX,Swisslos,champion,2026-06-11T22:02:28,50.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
SUI,Swisslos,champion,2026-06-11T22:02:28,50.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
TUR,Swisslos,champion,2026-06-11T22:02:28,50.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
CRO,Swisslos,champion,2026-06-11T22:02:28,65.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
USA,Swisslos,champion,2026-06-11T22:02:28,65.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
URU,Swisslos,champion,2026-06-11T22:02:28,70.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
AUT,Swisslos,champion,2026-06-11T22:02:28,80.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
ECU,Swisslos,champion,2026-06-11T22:02:28,85.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
SEN,Swisslos,champion,2026-06-11T22:02:28,120.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
CAN,Swisslos,champion,2026-06-11T22:02:28,130.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
SWE,Swisslos,champion,2026-06-11T22:02:28,130.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
PAR,Swisslos,champion,2026-06-11T22:02:28,160.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
BIH,Swisslos,champion,2026-06-11T22:02:28,200.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
SCO,Swisslos,champion,2026-06-11T22:02:28,250.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
ALG,Swisslos,champion,2026-06-11T22:02:28,300.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
CIV,Swisslos,champion,2026-06-11T22:02:28,300.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
CZE,Swisslos,champion,2026-06-11T22:02:28,300.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
EGY,Swisslos,champion,2026-06-11T22:02:28,300.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
GHA,Swisslos,champion,2026-06-11T22:02:28,400.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
KOR,Swisslos,champion,2026-06-11T22:02:28,400.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
AUS,Swisslos,champion,2026-06-11T22:02:28,500.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
IRN,Swisslos,champion,2026-06-11T22:02:28,500.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
TUN,Swisslos,champion,2026-06-11T22:02:28,500.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
COD,Swisslos,champion,2026-06-11T22:02:28,750.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
KSA,Swisslos,champion,2026-06-11T22:02:28,1000.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
RSA,Swisslos,champion,2026-06-11T22:02:28,1000.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
IRQ,Swisslos,champion,2026-06-11T22:02:28,1400.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
PAN,Swisslos,champion,2026-06-11T22:02:28,1400.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
UZB,Swisslos,champion,2026-06-11T22:02:28,1400.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
CPV,Swisslos,champion,2026-06-11T22:02:28,1800.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
QAT,Swisslos,champion,2026-06-11T22:02:28,1800.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
CUW,Swisslos,champion,2026-06-11T22:02:28,2000.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
HAI,Swisslos,champion,2026-06-11T22:02:28,2000.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
JOR,Swisslos,champion,2026-06-11T22:02:28,2000.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
NZL,Swisslos,champion,2026-06-11T22:02:28,2000.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
FRA,Swisslos,champion,2026-06-19T13:10:07,4.5,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
ENG,Swisslos,champion,2026-06-19T13:10:07,6.9,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
ESP,Swisslos,champion,2026-06-19T13:10:07,7.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
POR,Swisslos,champion,2026-06-19T13:10:07,8.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
ARG,Swisslos,champion,2026-06-19T13:10:07,9.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
BRA,Swisslos,champion,2026-06-19T13:10:07,12.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
GER,Swisslos,champion,2026-06-19T13:10:07,12.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
NED,Swisslos,champion,2026-06-19T13:10:07,18.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
NOR,Swisslos,champion,2026-06-19T13:10:07,25.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
BEL,Swisslos,champion,2026-06-19T13:10:07,40.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
COL,Swisslos,champion,2026-06-19T13:10:07,40.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
MAR,Swisslos,champion,2026-06-19T13:10:07,40.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
MEX,Swisslos,champion,2026-06-19T13:10:07,40.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
USA,Swisslos,champion,2026-06-19T13:10:07,40.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
JPN,Swisslos,champion,2026-06-19T13:10:07,50.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
SUI,Swisslos,champion,2026-06-19T13:10:07,50.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
CRO,Swisslos,champion,2026-06-19T13:10:07,60.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
URU,Swisslos,champion,2026-06-19T13:10:07,70.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
AUT,Swisslos,champion,2026-06-19T13:10:07,80.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
AUS,Swisslos,champion,2026-06-19T13:10:07,100.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
CAN,Swisslos,champion,2026-06-19T13:10:07,100.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
SWE,Swisslos,champion,2026-06-19T13:10:07,100.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
SEN,Swisslos,champion,2026-06-19T13:10:07,120.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
CIV,Swisslos,champion,2026-06-19T13:10:07,150.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
ECU,Swisslos,champion,2026-06-19T13:10:07,150.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
TUR,Swisslos,champion,2026-06-19T13:10:07,150.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
BIH,Swisslos,champion,2026-06-19T13:10:07,200.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
SCO,Swisslos,champion,2026-06-19T13:10:07,200.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
EGY,Swisslos,champion,2026-06-19T13:10:07,250.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
KOR,Swisslos,champion,2026-06-19T13:10:07,250.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
GHA,Swisslos,champion,2026-06-19T13:10:07,400.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
PAR,Swisslos,champion,2026-06-19T13:10:07,400.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
ALG,Swisslos,champion,2026-06-19T13:10:07,500.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
COD,Swisslos,champion,2026-06-19T13:10:07,500.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
CZE,Swisslos,champion,2026-06-19T13:10:07,500.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
IRN,Swisslos,champion,2026-06-19T13:10:07,700.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
TUN,Swisslos,champion,2026-06-19T13:10:07,750.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
CPV,Swisslos,champion,2026-06-19T13:10:07,1000.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
KSA,Swisslos,champion,2026-06-19T13:10:07,1000.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
NZL,Swisslos,champion,2026-06-19T13:10:07,1000.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
PAN,Swisslos,champion,2026-06-19T13:10:07,1400.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
UZB,Swisslos,champion,2026-06-19T13:10:07,1400.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
IRQ,Swisslos,champion,2026-06-19T13:10:07,1800.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
RSA,Swisslos,champion,2026-06-19T13:10:07,1800.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
CUW,Swisslos,champion,2026-06-19T13:10:07,2000.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
HAI,Swisslos,champion,2026-06-19T13:10:07,2000.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
JOR,Swisslos,champion,2026-06-19T13:10:07,2000.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
QAT,Swisslos,champion,2026-06-19T13:10:07,2000.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
FRA,Swisslos,champion,2026-07-01T07:24:51,3.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
ARG,Swisslos,champion,2026-07-01T07:24:51,5.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
ENG,Swisslos,champion,2026-07-01T07:24:51,8.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
ESP,Swisslos,champion,2026-07-01T07:24:51,8.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
POR,Swisslos,champion,2026-07-01T07:24:51,8.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
BRA,Swisslos,champion,2026-07-01T07:24:51,12.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
MAR,Swisslos,champion,2026-07-01T07:24:51,25.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
MEX,Swisslos,champion,2026-07-01T07:24:51,25.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
COL,Swisslos,champion,2026-07-01T07:24:51,30.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
NOR,Swisslos,champion,2026-07-01T07:24:51,30.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
USA,Swisslos,champion,2026-07-01T07:24:51,35.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
SUI,Swisslos,champion,2026-07-01T07:24:51,40.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
BEL,Swisslos,champion,2026-07-01T07:24:51,50.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
AUT,Swisslos,champion,2026-07-01T07:24:51,100.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
CAN,Swisslos,champion,2026-07-01T07:24:51,120.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
CRO,Swisslos,champion,2026-07-01T07:24:51,120.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
SEN,Swisslos,champion,2026-07-01T07:24:51,120.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
PAR,Swisslos,champion,2026-07-01T07:24:51,200.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
AUS,Swisslos,champion,2026-07-01T07:24:51,250.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
EGY,Swisslos,champion,2026-07-01T07:24:51,250.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
ALG,Swisslos,champion,2026-07-01T07:24:51,300.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
BIH,Swisslos,champion,2026-07-01T07:24:51,300.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
GHA,Swisslos,champion,2026-07-01T07:24:51,300.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
COD,Swisslos,champion,2026-07-01T07:24:51,400.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
CPV,Swisslos,champion,2026-07-01T07:24:51,400.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
